8/8/8/4K3/8/8/8/Rk6 b - - 0 1,23488,36984,0
8/8/8/4K3/8/8/8/R1k5 b - - 0 1,23488,37624,-22
8/8/8/4K3/8/8/8/R2k4 b - - 0 1,23488,38264,-20
8/8/8/4K3/8/8/8/R3k3 b - - 0 1,23488,38904,-20
8/8/8/4K3/8/8/8/R4k2 b - - 0 1,23488,39544,-20
8/8/8/4K3/8/8/8/R5k1 b - - 0 1,23488,40184,-18
8/8/8/4K3/8/8/8/R6k b - - 0 1,23488,40824,-16
8/8/8/4K3/8/8/k7/R7 b - - 0 1,23488,31224,0
8/8/8/4K3/8/8/1k6/R7 w - - 0 1,23488,31864,21
8/8/8/4K3/8/8/1k6/R7 b - - 0 1,23488,31864,0
8/8/8/4K3/8/8/2k5/R7 w - - 0 1,23488,32504,19
8/8/8/4K3/8/8/2k5/R7 b - - 0 1,23488,32504,-22
8/8/8/4K3/8/8/3k4/R7 w - - 0 1,23488,33144,19
8/8/8/4K3/8/8/3k4/R7 b - - 0 1,23488,33144,-22
8/8/8/4K3/8/8/4k3/R7 w - - 0 1,23488,33784,19
8/8/8/4K3/8/8/4k3/R7 b - - 0 1,23488,33784,-22
8/8/8/4K3/8/8/5k2/R7 w - - 0 1,23488,34424,17
8/8/8/4K3/8/8/5k2/R7 b - - 0 1,23488,34424,-20
8/8/8/4K3/8/8/6k1/R7 w - - 0 1,23488,35064,15
8/8/8/4K3/8/8/6k1/R7 b - - 0 1,23488,35064,-20
8/8/8/4K3/8/8/7k/R7 w - - 0 1,23488,35704,11
8/8/8/4K3/8/8/7k/R7 b - - 0 1,23488,35704,-18
8/8/8/4K3/8/k7/8/R7 b - - 0 1,23488,26104,-22
8/8/8/4K3/8/1k6/8/R7 w - - 0 1,23488,26744,19
8/8/8/4K3/8/1k6/8/R7 b - - 0 1,23488,26744,-22
8/8/8/4K3/8/2k5/8/R7 w - - 0 1,23488,27384,21
8/8/8/4K3/8/2k5/8/R7 b - - 0 1,23488,27384,-22
8/8/8/4K3/8/3k4/8/R7 w - - 0 1,23488,28024,21
8/8/8/4K3/8/3k4/8/R7 b - - 0 1,23488,28024,-22
8/8/8/4K3/8/4k3/8/R7 w - - 0 1,23488,28664,19
8/8/8/4K3/8/4k3/8/R7 b - - 0 1,23488,28664,-22
8/8/8/4K3/8/5k2/8/R7 w - - 0 1,23488,29304,19
8/8/8/4K3/8/5k2/8/R7 b - - 0 1,23488,29304,-20
8/8/8/4K3/8/6k1/8/R7 w - - 0 1,23488,29944,17
8/8/8/4K3/8/6k1/8/R7 b - - 0 1,23488,29944,-20
8/8/8/4K3/8/7k/8/R7 w - - 0 1,23488,30584,11
8/8/8/4K3/8/7k/8/R7 b - - 0 1,23488,30584,-18
8/8/8/4K3/k7/8/8/R7 b - - 0 1,23488,20984,-20
8/8/8/4K3/1k6/8/8/R7 w - - 0 1,23488,21624,19
8/8/8/4K3/1k6/8/8/R7 b - - 0 1,23488,21624,-22
8/8/8/4K3/2k5/8/8/R7 w - - 0 1,23488,22264,21
8/8/8/4K3/2k5/8/8/R7 b - - 0 1,23488,22264,-22
8/8/8/4K3/6k1/8/8/R7 w - - 0 1,23488,24824,15
8/8/8/4K3/6k1/8/8/R7 b - - 0 1,23488,24824,-20
8/8/8/4K3/7k/8/8/R7 w - - 0 1,23488,25464,5
8/8/8/4K3/7k/8/8/R7 b - - 0 1,23488,25464,-18
8/8/8/k3K3/8/8/8/R7 b - - 0 1,23488,15864,-20
8/8/8/1k2K3/8/8/8/R7 w - - 0 1,23488,16504,19
8/8/8/1k2K3/8/8/8/R7 b - - 0 1,23488,16504,-22
8/8/8/2k1K3/8/8/8/R7 w - - 0 1,23488,17144,19
8/8/8/2k1K3/8/8/8/R7 b - - 0 1,23488,17144,-22
8/8/8/4K1k1/8/8/8/R7 w - - 0 1,23488,19704,13
8/8/8/4K1k1/8/8/8/R7 b - - 0 1,23488,19704,-16
8/8/8/4K2k/8/8/8/R7 w - - 0 1,23488,20344,5
8/8/8/4K2k/8/8/8/R7 b - - 0 1,23488,20344,-16
8/8/k7/4K3/8/8/8/R7 b - - 0 1,23488,10744,-20
8/8/1k6/4K3/8/8/8/R7 w - - 0 1,23488,11384,17
8/8/1k6/4K3/8/8/8/R7 b - - 0 1,23488,11384,-20
8/8/2k5/4K3/8/8/8/R7 w - - 0 1,23488,12024,19
8/8/2k5/4K3/8/8/8/R7 b - - 0 1,23488,12024,-20
8/8/6k1/4K3/8/8/8/R7 w - - 0 1,23488,14584,15
8/8/6k1/4K3/8/8/8/R7 b - - 0 1,23488,14584,-16
8/8/7k/4K3/8/8/8/R7 w - - 0 1,23488,15224,5
8/8/7k/4K3/8/8/8/R7 b - - 0 1,23488,15224,-16
8/k7/8/4K3/8/8/8/R7 b - - 0 1,23488,5624,-18
8/1k6/8/4K3/8/8/8/R7 w - - 0 1,23488,6264,15
8/1k6/8/4K3/8/8/8/R7 b - - 0 1,23488,6264,-20
8/2k5/8/4K3/8/8/8/R7 w - - 0 1,23488,6904,17
8/2k5/8/4K3/8/8/8/R7 b - - 0 1,23488,6904,-20
8/3k4/8/4K3/8/8/8/R7 w - - 0 1,23488,7544,15
8/3k4/8/4K3/8/8/8/R7 b - - 0 1,23488,7544,-20
8/4k3/8/4K3/8/8/8/R7 w - - 0 1,23488,8184,13
8/4k3/8/4K3/8/8/8/R7 b - - 0 1,23488,8184,-16
8/5k2/8/4K3/8/8/8/R7 w - - 0 1,23488,8824,15
8/5k2/8/4K3/8/8/8/R7 b - - 0 1,23488,8824,-16
8/6k1/8/4K3/8/8/8/R7 w - - 0 1,23488,9464,13
8/6k1/8/4K3/8/8/8/R7 b - - 0 1,23488,9464,-16
8/7k/8/4K3/8/8/8/R7 w - - 0 1,23488,10104,5
8/7k/8/4K3/8/8/8/R7 b - - 0 1,23488,10104,-16
k7/8/8/4K3/8/8/8/R7 b - - 0 1,23488,504,-16
1k6/8/8/4K3/8/8/8/R7 w - - 0 1,23488,1144,11
1k6/8/8/4K3/8/8/8/R7 b - - 0 1,23488,1144,-18
2k5/8/8/4K3/8/8/8/R7 w - - 0 1,23488,1784,11
2k5/8/8/4K3/8/8/8/R7 b - - 0 1,23488,1784,-18
3k4/8/8/4K3/8/8/8/R7 w - - 0 1,23488,2424,5
3k4/8/8/4K3/8/8/8/R7 b - - 0 1,23488,2424,-18
4k3/8/8/4K3/8/8/8/R7 w - - 0 1,23488,3064,5
4k3/8/8/4K3/8/8/8/R7 b - - 0 1,23488,3064,-16
5k2/8/8/4K3/8/8/8/R7 w - - 0 1,23488,3704,5
5k2/8/8/4K3/8/8/8/R7 b - - 0 1,23488,3704,-16
6k1/8/8/4K3/8/8/8/R7 w - - 0 1,23488,4344,5
6k1/8/8/4K3/8/8/8/R7 b - - 0 1,23488,4344,-16
7k/8/8/4K3/8/8/8/R7 w - - 0 1,23488,4984,5
7k/8/8/4K3/8/8/8/R7 b - - 0 1,23488,4984,-14
8/8/8/4K3/8/8/8/kR6 b - - 0 1,23489,36345,0
8/8/8/4K3/8/8/8/1Rk5 b - - 0 1,23489,37625,0
8/8/8/4K3/8/8/8/1R1k4 b - - 0 1,23489,38265,-24
8/8/8/4K3/8/8/8/1R2k3 b - - 0 1,23489,38905,-20
8/8/8/4K3/8/8/8/1R3k2 b - - 0 1,23489,39545,-20
8/8/8/4K3/8/8/8/1R4k1 b - - 0 1,23489,40185,-18
8/8/8/4K3/8/8/8/1R5k b - - 0 1,23489,40825,-16
8/8/8/4K3/8/8/k7/1R6 w - - 0 1,23489,31225,13
8/8/8/4K3/8/8/k7/1R6 b - - 0 1,23489,31225,0
8/8/8/4K3/8/8/1k6/1R6 b - - 0 1,23489,31865,0
8/8/8/4K3/8/8/2k5/1R6 w - - 0 1,23489,32505,23
8/8/8/4K3/8/8/2k5/1R6 b - - 0 1,23489,32505,0
8/8/8/4K3/8/8/3k4/1R6 w - - 0 1,23489,33145,19
8/8/8/4K3/8/8/3k4/1R6 b - - 0 1,23489,33145,-24
8/8/8/4K3/8/8/4k3/1R6 w - - 0 1,23489,33785,19
8/8/8/4K3/8/8/4k3/1R6 b - - 0 1,23489,33785,-22
8/8/8/4K3/8/8/5k2/1R6 w - - 0 1,23489,34425,17
8/8/8/4K3/8/8/5k2/1R6 b - - 0 1,23489,34425,-20
8/8/8/4K3/8/8/6k1/1R6 w - - 0 1,23489,35065,15
8/8/8/4K3/8/8/6k1/1R6 b - - 0 1,23489,35065,-20
8/8/8/4K3/8/8/7k/1R6 w - - 0 1,23489,35705,11
8/8/8/4K3/8/8/7k/1R6 b - - 0 1,23489,35705,-18
8/8/8/4K3/8/k7/8/1R6 w - - 0 1,23489,26105,13
8/8/8/4K3/8/k7/8/1R6 b - - 0 1,23489,26105,-14
8/8/8/4K3/8/1k6/8/1R6 b - - 0 1,23489,26745,-24
8/8/8/4K3/8/2k5/8/1R6 w - - 0 1,23489,27385,21
8/8/8/4K3/8/2k5/8/1R6 b - - 0 1,23489,27385,-24
8/8/8/4K3/8/3k4/8/1R6 w - - 0 1,23489,28025,21
8/8/8/4K3/8/3k4/8/1R6 b - - 0 1,23489,28025,-24
8/8/8/4K3/8/4k3/8/1R6 w - - 0 1,23489,28665,19
8/8/8/4K3/8/4k3/8/1R6 b - - 0 1,23489,28665,-22
8/8/8/4K3/8/5k2/8/1R6 w - - 0 1,23489,29305,19
8/8/8/4K3/8/5k2/8/1R6 b - - 0 1,23489,29305,-20
8/8/8/4K3/8/6k1/8/1R6 w - - 0 1,23489,29945,17
8/8/8/4K3/8/6k1/8/1R6 b - - 0 1,23489,29945,-20
8/8/8/4K3/8/7k/8/1R6 w - - 0 1,23489,30585,11
8/8/8/4K3/8/7k/8/1R6 b - - 0 1,23489,30585,-18
