8/8/8/8/8/4K3/8/Rk6 b - - 0 1,13248,36984,0
8/8/8/8/8/4K3/8/R1k5 b - - 0 1,13248,37624,-18
8/8/8/8/8/4K3/8/R2k4 b - - 0 1,13248,38264,-16
8/8/8/8/8/4K3/8/R4k2 b - - 0 1,13248,39544,-12
8/8/8/8/8/4K3/8/R5k1 b - - 0 1,13248,40184,-12
8/8/8/8/8/4K3/8/R6k b - - 0 1,13248,40824,-12
8/8/8/8/8/4K3/k7/R7 b - - 0 1,13248,31224,0
8/8/8/8/8/4K3/1k6/R7 w - - 0 1,13248,31864,17
8/8/8/8/8/4K3/1k6/R7 b - - 0 1,13248,31864,0
8/8/8/8/8/4K3/2k5/R7 w - - 0 1,13248,32504,15
8/8/8/8/8/4K3/2k5/R7 b - - 0 1,13248,32504,-20
8/8/8/8/8/4K3/6k1/R7 w - - 0 1,13248,35064,11
8/8/8/8/8/4K3/6k1/R7 b - - 0 1,13248,35064,-12
8/8/8/8/8/4K3/7k/R7 w - - 0 1,13248,35704,3
8/8/8/8/8/4K3/7k/R7 b - - 0 1,13248,35704,-12
8/8/8/8/8/k3K3/8/R7 b - - 0 1,13248,26104,-20
8/8/8/8/8/1k2K3/8/R7 w - - 0 1,13248,26744,19
8/8/8/8/8/1k2K3/8/R7 b - - 0 1,13248,26744,-22
8/8/8/8/8/2k1K3/8/R7 w - - 0 1,13248,27384,17
8/8/8/8/8/2k1K3/8/R7 b - - 0 1,13248,27384,-22
8/8/8/8/8/4K1k1/8/R7 w - - 0 1,13248,29944,11
8/8/8/8/8/4K1k1/8/R7 b - - 0 1,13248,29944,-14
8/8/8/8/8/4K2k/8/R7 w - - 0 1,13248,30584,5
8/8/8/8/8/4K2k/8/R7 b - - 0 1,13248,30584,-14
8/8/8/8/k7/4K3/8/R7 b - - 0 1,13248,20984,-22
8/8/8/8/1k6/4K3/8/R7 w - - 0 1,13248,21624,19
8/8/8/8/1k6/4K3/8/R7 b - - 0 1,13248,21624,-24
8/8/8/8/2k5/4K3/8/R7 w - - 0 1,13248,22264,21
8/8/8/8/2k5/4K3/8/R7 b - - 0 1,13248,22264,-24
8/8/8/8/6k1/4K3/8/R7 w - - 0 1,13248,24824,13
8/8/8/8/6k1/4K3/8/R7 b - - 0 1,13248,24824,-24
8/8/8/8/7k/4K3/8/R7 w - - 0 1,13248,25464,5
8/8/8/8/7k/4K3/8/R7 b - - 0 1,13248,25464,-20
8/8/8/k7/8/4K3/8/R7 b - - 0 1,13248,15864,-22
8/8/8/1k6/8/4K3/8/R7 w - - 0 1,13248,16504,21
8/8/8/1k6/8/4K3/8/R7 b - - 0 1,13248,16504,-24
8/8/8/2k5/8/4K3/8/R7 w - - 0 1,13248,17144,23
8/8/8/2k5/8/4K3/8/R7 b - - 0 1,13248,17144,-24
8/8/8/3k4/8/4K3/8/R7 w - - 0 1,13248,17784,23
8/8/8/3k4/8/4K3/8/R7 b - - 0 1,13248,17784,-24
8/8/8/4k3/8/4K3/8/R7 w - - 0 1,13248,18424,23
8/8/8/4k3/8/4K3/8/R7 b - - 0 1,13248,18424,-24
8/8/8/5k2/8/4K3/8/R7 w - - 0 1,13248,19064,23
8/8/8/5k2/8/4K3/8/R7 b - - 0 1,13248,19064,-24
8/8/8/6k1/8/4K3/8/R7 w - - 0 1,13248,19704,19
8/8/8/6k1/8/4K3/8/R7 b - - 0 1,13248,19704,-24
8/8/8/7k/8/4K3/8/R7 w - - 0 1,13248,20344,13
8/8/8/7k/8/4K3/8/R7 b - - 0 1,13248,20344,-20
8/8/k7/8/8/4K3/8/R7 b - - 0 1,13248,10744,-22
8/8/1k6/8/8/4K3/8/R7 w - - 0 1,13248,11384,19
8/8/1k6/8/8/4K3/8/R7 b - - 0 1,13248,11384,-24
8/8/2k5/8/8/4K3/8/R7 w - - 0 1,13248,12024,21
8/8/2k5/8/8/4K3/8/R7 b - - 0 1,13248,12024,-24
8/8/3k4/8/8/4K3/8/R7 w - - 0 1,13248,12664,23
8/8/3k4/8/8/4K3/8/R7 b - - 0 1,13248,12664,-24
8/8/4k3/8/8/4K3/8/R7 w - - 0 1,13248,13304,23
8/8/4k3/8/8/4K3/8/R7 b - - 0 1,13248,13304,-24
8/8/5k2/8/8/4K3/8/R7 w - - 0 1,13248,13944,19
8/8/5k2/8/8/4K3/8/R7 b - - 0 1,13248,13944,-24
8/8/6k1/8/8/4K3/8/R7 w - - 0 1,13248,14584,17
8/8/6k1/8/8/4K3/8/R7 b - - 0 1,13248,14584,-24
8/8/7k/8/8/4K3/8/R7 w - - 0 1,13248,15224,11
8/8/7k/8/8/4K3/8/R7 b - - 0 1,13248,15224,-20
