8/8/8/8/8/2K5/8/Rk6 b - - 0 1,11968,36984,0
8/8/8/8/8/2K5/8/R2k4 b - - 0 1,11968,38264,-20
8/8/8/8/8/2K5/8/R3k3 b - - 0 1,11968,38904,-20
8/8/8/8/8/2K5/8/R4k2 b - - 0 1,11968,39544,-20
8/8/8/8/8/2K5/8/R5k1 b - - 0 1,11968,40184,-18
8/8/8/8/8/2K5/8/R6k b - - 0 1,11968,40824,-18
8/8/8/8/8/2K5/k7/R7 b - - 0 1,11968,31224,0
8/8/8/8/8/2K5/4k3/R7 w - - 0 1,11968,33784,19
8/8/8/8/8/2K5/4k3/R7 b - - 0 1,11968,33784,-20
8/8/8/8/8/2K5/5k2/R7 w - - 0 1,11968,34424,17
8/8/8/8/8/2K5/5k2/R7 b - - 0 1,11968,34424,-20
8/8/8/8/8/2K5/6k1/R7 w - - 0 1,11968,35064,17
8/8/8/8/8/2K5/6k1/R7 b - - 0 1,11968,35064,-20
8/8/8/8/8/2K5/7k/R7 w - - 0 1,11968,35704,17
8/8/8/8/8/2K5/7k/R7 b - - 0 1,11968,35704,-18
8/8/8/8/8/2K1k3/8/R7 w - - 0 1,11968,28664,19
8/8/8/8/8/2K1k3/8/R7 b - - 0 1,11968,28664,-24
8/8/8/8/8/2K2k2/8/R7 w - - 0 1,11968,29304,19
8/8/8/8/8/2K2k2/8/R7 b - - 0 1,11968,29304,-24
8/8/8/8/8/2K3k1/8/R7 w - - 0 1,11968,29944,17
8/8/8/8/8/2K3k1/8/R7 b - - 0 1,11968,29944,-24
8/8/8/8/8/2K4k/8/R7 w - - 0 1,11968,30584,17
8/8/8/8/8/2K4k/8/R7 b - - 0 1,11968,30584,-22
8/8/8/8/k7/2K5/8/R7 b - - 0 1,11968,20984,-20
8/8/8/8/4k3/2K5/8/R7 w - - 0 1,11968,23544,21
8/8/8/8/4k3/2K5/8/R7 b - - 0 1,11968,23544,-26
8/8/8/8/5k2/2K5/8/R7 w - - 0 1,11968,24184,23
8/8/8/8/5k2/2K5/8/R7 b - - 0 1,11968,24184,-26
8/8/8/8/6k1/2K5/8/R7 w - - 0 1,11968,24824,21
8/8/8/8/6k1/2K5/8/R7 b - - 0 1,11968,24824,-24
8/8/8/8/7k/2K5/8/R7 w - - 0 1,11968,25464,17
8/8/8/8/7k/2K5/8/R7 b - - 0 1,11968,25464,-22
8/8/8/k7/8/2K5/8/R7 b - - 0 1,11968,15864,-20
8/8/8/1k6/8/2K5/8/R7 w - - 0 1,11968,16504,19
8/8/8/1k6/8/2K5/8/R7 b - - 0 1,11968,16504,-20
8/8/8/2k5/8/2K5/8/R7 w - - 0 1,11968,17144,19
8/8/8/2k5/8/2K5/8/R7 b - - 0 1,11968,17144,-24
8/8/8/3k4/8/2K5/8/R7 w - - 0 1,11968,17784,21
8/8/8/3k4/8/2K5/8/R7 b - - 0 1,11968,17784,-26
8/8/8/4k3/8/2K5/8/R7 w - - 0 1,11968,18424,25
