8/8/8/8/2K5/8/8/Rk6 b - - 0 1,17088,36984,0
8/8/8/8/2K5/8/8/R1k5 b - - 0 1,17088,37624,-20
8/8/8/8/2K5/8/8/R2k4 b - - 0 1,17088,38264,-20
8/8/8/8/2K5/8/8/R3k3 b - - 0 1,17088,38904,-20
8/8/8/8/2K5/8/8/R4k2 b - - 0 1,17088,39544,-20
8/8/8/8/2K5/8/8/R5k1 b - - 0 1,17088,40184,-18
8/8/8/8/2K5/8/8/R6k b - - 0 1,17088,40824,-18
8/8/8/8/2K5/8/k7/R7 b - - 0 1,17088,31224,0
8/8/8/8/2K5/8/1k6/R7 w - - 0 1,17088,31864,13
8/8/8/8/2K5/8/1k6/R7 b - - 0 1,17088,31864,0
8/8/8/8/2K5/8/2k5/R7 w - - 0 1,17088,32504,13
8/8/8/8/2K5/8/2k5/R7 b - - 0 1,17088,32504,-20
8/8/8/8/2K5/8/3k4/R7 w - - 0 1,17088,33144,19
8/8/8/8/2K5/8/3k4/R7 b - - 0 1,17088,33144,-24
8/8/8/8/2K5/8/4k3/R7 w - - 0 1,17088,33784,19
8/8/8/8/2K5/8/4k3/R7 b - - 0 1,17088,33784,-24
8/8/8/8/2K5/8/5k2/R7 w - - 0 1,17088,34424,17
8/8/8/8/2K5/8/5k2/R7 b - - 0 1,17088,34424,-24
8/8/8/8/2K5/8/6k1/R7 w - - 0 1,17088,35064,17
8/8/8/8/2K5/8/6k1/R7 b - - 0 1,17088,35064,-20
8/8/8/8/2K5/8/7k/R7 w - - 0 1,17088,35704,17
8/8/8/8/2K5/8/7k/R7 b - - 0 1,17088,35704,-20
8/8/8/8/2K5/k7/8/R7 b - - 0 1,17088,26104,-14
8/8/8/8/2K5/4k3/8/R7 w - - 0 1,17088,28664,23
8/8/8/8/2K5/4k3/8/R7 b - - 0 1,17088,28664,-24
8/8/8/8/2K5/5k2/8/R7 w - - 0 1,17088,29304,19
8/8/8/8/2K5/5k2/8/R7 b - - 0 1,17088,29304,-24
8/8/8/8/2K5/6k1/8/R7 w - - 0 1,17088,29944,19
8/8/8/8/2K5/6k1/8/R7 b - - 0 1,17088,29944,-24
8/8/8/8/2K5/7k/8/R7 w - - 0 1,17088,30584,19
8/8/8/8/2K5/7k/8/R7 b - - 0 1,17088,30584,-22
8/8/8/8/2K1k3/8/8/R7 w - - 0 1,17088,23544,23
