8/8/5K2/8/8/8/8/Rk6 b - - 0 1,29248,36984,0
8/8/5K2/8/8/8/8/R1k5 b - - 0 1,29248,37624,-26
8/8/5K2/8/8/8/8/R2k4 b - - 0 1,29248,38264,-24
8/8/5K2/8/8/8/8/R3k3 b - - 0 1,29248,38904,-22
8/8/5K2/8/8/8/8/R4k2 b - - 0 1,29248,39544,-22
8/8/5K2/8/8/8/8/R5k1 b - - 0 1,29248,40184,-22
8/8/5K2/8/8/8/8/R6k b - - 0 1,29248,40824,-20
8/8/5K2/8/8/8/k7/R7 b - - 0 1,29248,31224,0
8/8/5K2/8/8/8/1k6/R7 w - - 0 1,29248,31864,25
8/8/5K2/8/8/8/1k6/R7 b - - 0 1,29248,31864,0
8/8/5K2/8/8/8/2k5/R7 w - - 0 1,29248,32504,23
8/8/5K2/8/8/8/2k5/R7 b - - 0 1,29248,32504,-26
8/8/5K2/8/8/8/3k4/R7 w - - 0 1,29248,33144,21
8/8/5K2/8/8/8/3k4/R7 b - - 0 1,29248,33144,-24
8/8/5K2/8/8/8/4k3/R7 w - - 0 1,29248,33784,21
8/8/5K2/8/8/8/4k3/R7 b - - 0 1,29248,33784,-24
8/8/5K2/8/8/8/5k2/R7 w - - 0 1,29248,34424,21
8/8/5K2/8/8/8/5k2/R7 b - - 0 1,29248,34424,-24
8/8/5K2/8/8/8/6k1/R7 w - - 0 1,29248,35064,19
8/8/5K2/8/8/8/6k1/R7 b - - 0 1,29248,35064,-22
8/8/5K2/8/8/8/7k/R7 w - - 0 1,29248,35704,17
8/8/5K2/8/8/8/7k/R7 b - - 0 1,29248,35704,-20
8/8/5K2/8/8/k7/8/R7 b - - 0 1,29248,26104,-26
8/8/5K2/8/8/1k6/8/R7 w - - 0 1,29248,26744,23
8/8/5K2/8/8/1k6/8/R7 b - - 0 1,29248,26744,-26
8/8/5K2/8/8/2k5/8/R7 w - - 0 1,29248,27384,23
8/8/5K2/8/8/2k5/8/R7 b - - 0 1,29248,27384,-26
8/8/5K2/8/8/3k4/8/R7 w - - 0 1,29248,28024,23
8/8/5K2/8/8/3k4/8/R7 b - - 0 1,29248,28024,-26
8/8/5K2/8/8/4k3/8/R7 w - - 0 1,29248,28664,23
8/8/5K2/8/8/4k3/8/R7 b - - 0 1,29248,28664,-26
8/8/5K2/8/8/5k2/8/R7 w - - 0 1,29248,29304,19
8/8/5K2/8/8/5k2/8/R7 b - - 0 1,29248,29304,-24
8/8/5K2/8/8/6k1/8/R7 w - - 0 1,29248,29944,17
8/8/5K2/8/8/6k1/8/R7 b - - 0 1,29248,29944,-22
8/8/5K2/8/8/7k/8/R7 w - - 0 1,29248,30584,13
8/8/5K2/8/8/7k/8/R7 b - - 0 1,29248,30584,-20
8/8/5K2/8/k7/8/8/R7 b - - 0 1,29248,20984,-24
8/8/5K2/8/1k6/8/8/R7 w - - 0 1,29248,21624,21
