8/8/8/8/8/8/7K/Rk6 b - - 0 1,10048,36984,0
8/8/8/8/8/8/7K/R1k5 b - - 0 1,10048,37624,-26
8/8/8/8/8/8/7K/R2k4 b - - 0 1,10048,38264,-22
8/8/8/8/8/8/7K/R3k3 b - - 0 1,10048,38904,-22
8/8/8/8/8/8/7K/R4k2 b - - 0 1,10048,39544,-22
8/8/8/8/8/8/k6K/R7 b - - 0 1,10048,31224,0
8/8/8/8/8/8/1k5K/R7 w - - 0 1,10048,31864,25
8/8/8/8/8/8/1k5K/R7 b - - 0 1,10048,31864,0
8/8/8/8/8/8/2k4K/R7 w - - 0 1,10048,32504,21
8/8/8/8/8/8/2k4K/R7 b - - 0 1,10048,32504,-28
8/8/8/8/8/8/3k3K/R7 w - - 0 1,10048,33144,21
8/8/8/8/8/8/3k3K/R7 b - - 0 1,10048,33144,-28
8/8/8/8/8/8/4k2K/R7 w - - 0 1,10048,33784,21
8/8/8/8/8/8/4k2K/R7 b - - 0 1,10048,33784,-28
8/8/8/8/8/8/5k1K/R7 w - - 0 1,10048,34424,21
8/8/8/8/8/8/5k1K/R7 b - - 0 1,10048,34424,-28
8/8/8/8/8/k7/7K/R7 b - - 0 1,10048,26104,-28
8/8/8/8/8/1k6/7K/R7 w - - 0 1,10048,26744,27
8/8/8/8/8/1k6/7K/R7 b - - 0 1,10048,26744,-28
8/8/8/8/8/2k5/7K/R7 w - - 0 1,10048,27384,25
8/8/8/8/8/2k5/7K/R7 b - - 0 1,10048,27384,-28
8/8/8/8/8/3k4/7K/R7 w - - 0 1,10048,28024,25
8/8/8/8/8/3k4/7K/R7 b - - 0 1,10048,28024,-28
8/8/8/8/8/4k3/7K/R7 w - - 0 1,10048,28664,27
8/8/8/8/8/4k3/7K/R7 b - - 0 1,10048,28664,-28
8/8/8/8/8/5k2/7K/R7 w - - 0 1,10048,29304,23
8/8/8/8/8/5k2/7K/R7 b - - 0 1,10048,29304,-28
8/8/8/8/k7/8/7K/R7 b - - 0 1,10048,20984,-28
8/8/8/8/1k6/8/7K/R7 w - - 0 1,10048,21624,27
8/8/8/8/1k6/8/7K/R7 b - - 0 1,10048,21624,-28
8/8/8/8/2k5/8/7K/R7 w - - 0 1,10048,22264,27
8/8/8/8/2k5/8/7K/R7 b - - 0 1,10048,22264,-28
8/8/8/8/3k4/8/7K/R7 w - - 0 1,10048,22904,27
8/8/8/8/3k4/8/7K/R7 b - - 0 1,10048,22904,-28
8/8/8/8/4k3/8/7K/R7 w - - 0 1,10048,23544,27
8/8/8/8/4k3/8/7K/R7 b - - 0 1,10048,23544,-28
8/8/8/8/5k2/8/7K/R7 w - - 0 1,10048,24184,27
8/8/8/8/5k2/8/7K/R7 b - - 0 1,10048,24184,-28
8/8/8/8/6k1/8/7K/R7 w - - 0 1,10048,24824,17
8/8/8/8/6k1/8/7K/R7 b - - 0 1,10048,24824,-28
8/8/8/8/7k/8/7K/R7 w - - 0 1,10048,25464,13
8/8/8/8/7k/8/7K/R7 b - - 0 1,10048,25464,-20
8/8/8/k7/8/8/7K/R7 b - - 0 1,10048,15864,-28
8/8/8/1k6/8/8/7K/R7 w - - 0 1,10048,16504,25
8/8/8/1k6/8/8/7K/R7 b - - 0 1,10048,16504,-28
8/8/8/2k5/8/8/7K/R7 w - - 0 1,10048,17144,27
8/8/8/2k5/8/8/7K/R7 b - - 0 1,10048,17144,-28
8/8/8/3k4/8/8/7K/R7 w - - 0 1,10048,17784,27
8/8/8/3k4/8/8/7K/R7 b - - 0 1,10048,17784,-28
8/8/8/4k3/8/8/7K/R7 w - - 0 1,10048,18424,27
8/8/8/4k3/8/8/7K/R7 b - - 0 1,10048,18424,-28
8/8/8/5k2/8/8/7K/R7 w - - 0 1,10048,19064,23
8/8/8/5k2/8/8/7K/R7 b - - 0 1,10048,19064,-28
8/8/8/6k1/8/8/7K/R7 w - - 0 1,10048,19704,19
8/8/8/6k1/8/8/7K/R7 b - - 0 1,10048,19704,-28
8/8/8/7k/8/8/7K/R7 w - - 0 1,10048,20344,15
8/8/8/7k/8/8/7K/R7 b - - 0 1,10048,20344,-20
8/8/k7/8/8/8/7K/R7 b - - 0 1,10048,10744,-26
8/8/1k6/8/8/8/7K/R7 w - - 0 1,10048,11384,25
8/8/1k6/8/8/8/7K/R7 b - - 0 1,10048,11384,-28
8/8/2k5/8/8/8/7K/R7 w - - 0 1,10048,12024,27
8/8/2k5/8/8/8/7K/R7 b - - 0 1,10048,12024,-28
8/8/3k4/8/8/8/7K/R7 w - - 0 1,10048,12664,27
8/8/3k4/8/8/8/7K/R7 b - - 0 1,10048,12664,-28
8/8/4k3/8/8/8/7K/R7 w - - 0 1,10048,13304,27
8/8/4k3/8/8/8/7K/R7 b - - 0 1,10048,13304,-28
